Qty,Value,Parts,Device,Package,Description
1,,U4,74LVC1G04,SOT23-5,74LVC1G04 - Single Inverter Gate
1,,U5,ACCEL_LIS3DHTR,LGA16_3X3MM,LIS3DHTR 3-Axis Accelerometer with I2C/SPI Interface
1,,D1,DIODESOD-123,SOD-123,Diode
1,,B1,SWITCH_TACT_SMT4.6X2.8,BTN_KMR2_4.6X2.8,SMT Tact Switches
1,,Q1,TRANSISTOR_PNPSOT23-REFLOW,SOT23-R,PNP Transistor
1,,U1,VREG_SOT23-5,SOT23-5,SOT23-5 Fixed Voltage Regulators
1,BQ51013B,U$1,BQ51013B,VQFN,
1,MCP73831/OT,IC2,MCP73831/OT,SOT23-5L,MCP73831/2
,,,,,
2,100k,"R12, R14",RESISTOR0402,402,Resistors
12,10k,"R3, R4, R5, R6, R7, R8, R9, R17, R20, R21, R22, R23",RESISTOR0402,402,Resistors
2,150,"R16, R19",RESISTOR0402,402,Resistors
4,1k,"R1, R10, R11, R18",RESISTOR0402,402,Resistors
2,2k,"R2, R15",RESISTOR0402,402,Resistors
1,500k,R13,RESISTOR0402,402,Resistors
,,,,,
3,10nF,"C4, C6, C8",CAP_CERAMIC0402,402,Ceramic Capacitors
3,10uF,"C1, C2, C3",CAP_CERAMIC0603,603,Ceramic Capacitors
1,1uF,C5,CAP_CERAMIC0402,402,Ceramic Capacitors
3,22nF,"C9, C10, C11",CAP_CERAMIC0402,402,Ceramic Capacitors
1,4.7uF,C7,CAP_CERAMIC0603,603,Ceramic Capacitors
3,470nF,"C12, C13, C14",CAP_CERAMIC0402,402,Ceramic Capacitors
,,,,,
1,BLUE,LED6,LED0603,CHIPLED_0603,LED
1,GREEN,LED1,LED0603,CHIPLED_0603,LED
1,Orange,LED4,LED0603,CHIPLED_0603,LED
1,RED,LED5,LED0603,CHIPLED_0603,LED
